Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
2022-01-18,United Kingdom,2022-01-19 04:21:23,52.1307,-3.7837,746572,6708,,,"Wales, United Kingdom",23786.783916395845,0.8985067749661118
2022-01-18,United Kingdom,2022-01-19 04:21:23,49.2138,-2.1358,26406,92,0.0,0.0,"Jersey, United Kingdom",0.0,0.0
2022-01-18,United Kingdom,2022-01-19 04:21:23,49.448196,-2.58949,10441,30,0.0,0.0,"Guernsey, United Kingdom",0.0,0.0
2022-01-19,United Kingdom,2022-01-20 04:21:07,18.2206,-63.0686,2187,7,,,"Anguilla, United Kingdom",14578.056259165445,0.3200731595793324
2022-01-19,United Kingdom,2022-01-20 04:21:07,32.3078,-64.7505,9144,110,,,"Bermuda, United Kingdom",14683.73131212564,1.2029746281714786
2022-01-19,United Kingdom,2022-01-20 04:21:07,18.4207,-64.64,5449,47,,,"British Virgin Islands, United Kingdom",18020.967688593446,0.8625435859790788
2022-01-19,United Kingdom,2022-01-20 04:21:07,19.3133,-81.2546,12023,15,,,"Cayman Islands, United Kingdom",18294.27875836884,0.12476087498960325
2022-01-19,United Kingdom,2022-01-20 04:21:07,49.3723,-2.3644,0,0,,,"Channel Islands, United Kingdom",22060.539944515807,0.32967325126950786
2022-01-19,United Kingdom,2022-01-20 04:21:07,52.3555,-1.1743,13160429,132965,,,"England, United Kingdom",23510.338137670336,1.0103394045893184
2022-01-19,United Kingdom,2022-01-20 04:21:07,-51.7963,-59.5236,85,0,,,"Falkland Islands (Malvinas), United Kingdom",2440.424921045076,0.0
2022-01-19,United Kingdom,2022-01-20 04:21:07,36.1408,-5.3536,11216,100,,,"Gibraltar, United Kingdom",33290.78982517587,0.8915834522111271
2022-01-19,United Kingdom,2022-01-20 04:21:07,54.2361,-4.5481,20179,70,,,"Isle of Man, United Kingdom",23731.06595164174,0.3468952871797413
2022-01-19,United Kingdom,2022-01-20 04:21:07,16.742498,-62.187366,148,1,,,"Montserrat, United Kingdom",2960.5921184236854,0.6756756756756757
2022-01-19,United Kingdom,2022-01-20 04:21:07,54.7877,-6.4923,492159,3054,,,"Northern Ireland, United Kingdom",26156.409438775507,0.6205311698048801
2022-01-19,United Kingdom,2022-01-20 04:21:07,-7.9467,-14.3559,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
2022-01-19,United Kingdom,2022-01-20 04:21:07,56.4907,-4.2026,1105454,10122,,,"Scotland, United Kingdom",20234.18080647228,0.9156418991654108
2022-01-19,United Kingdom,2022-01-20 04:21:07,21.69400000000001,-71.7979,5271,32,,,"Turks and Caicos Islands, United Kingdom",13613.82302804897,0.6070954278125593
2022-01-19,United Kingdom,2022-01-20 04:21:07,,,0,0,,,"Unknown, United Kingdom",,
2022-01-19,United Kingdom,2022-01-20 04:21:07,52.1307,-3.7837,748708,6731,,,"Wales, United Kingdom",23854.839737462564,0.8990153704782105
2022-01-19,United Kingdom,2022-01-20 04:21:07,49.2138,-2.1358,26731,92,0.0,0.0,"Jersey, United Kingdom",0.0,0.0
2022-01-19,United Kingdom,2022-01-20 04:21:07,49.448196,-2.58949,10505,30,0.0,0.0,"Guernsey, United Kingdom",0.0,0.0
